216	2	1433	10000
217	2	1434	10000
214	2	1431	10000
215	2	1432	10000
212	2	1429	10000
213	2	1430	10000
210	2	1427	10000
211	2	1428	10000
165	1	1346	10000
218	2	1435	10000
219	2	1436	10000
133	1	1271	10000
132	2	1270	10000
131	1	1269	10000
130	2	1268	10000
137	1	1275	10000
136	2	1274	10000
135	1	1273	10000
134	2	1272	10000
139	1	1277	10000
138	2	1276	10000
166	1	1347	10000
24	2	1084	10000
25	1	1087	10000
26	2	1088	10000
27	1	1089	10000
21	2	1074	10000
22	1	1077	10000
23	1	1078	10000
160	1	1339	10000
28	2	1090	10000
29	1	1091	10000
161	1	1340	10000
4	2	1038	10000
8	2	1042	10000
163	2	1342	10000
119	1	1257	10000
120	2	1258	10000
121	1	1259	10000
122	2	1260	10000
123	1	1261	10000
124	2	1262	10000
125	1	1263	10000
126	2	1264	10000
127	1	1265	10000
128	2	1266	10000
129	1	1267	10000
167	2	1352	10000
118	1	1251	10000
59	2	1133	10000
58	2	1130	10000
55	2	1121	10000
54	2	1118	10000
57	2	1127	10000
56	2	1124	10000
51	1	1113	10000
50	2	1112	10000
53	2	1115	10000
52	1	1114	10000
164	1	1345	10000
201	5	1398	200
199	4	1396	1000
179	2	1379	10000
200	5	1397	200
195	4	1392	1000
194	3	1391	1000
197	4	1394	1000
178	2	1378	10000
191	3	1388	1000
190	2	1417	10000
193	5	1390	200
192	3	1389	1000
115	2	1245	10000
114	2	1244	10000
88	1	1187	10000
89	1	1188	10000
111	2	1235	10000
110	2	1232	10000
113	2	1241	10000
112	2	1238	10000
82	2	1169	1000
83	2	1172	10000
80	1	1165	10000
81	2	1166	1000
86	2	1181	10000
87	2	1184	10000
84	2	1175	10000
85	2	1178	10000
198	4	1395	1000
206	2	1423	10000
226	2	1443	10000
3	1	1037	10000
177	1	1377	10000
7	1	1041	10000
225	2	1442	10000
108	2	1226	10000
109	2	1229	10000
240	3	1483	8000
102	2	1213	10000
103	1	1214	10000
100	2	1209	10000
101	1	1212	10000
106	1	1217	10000
107	2	1223	10000
104	2	1215	10000
105	1	1216	10000
39	1	1101	10000
38	2	1100	10000
33	1	1095	10000
32	2	1094	10000
31	1	1093	10000
30	2	1092	10000
37	1	1099	10000
36	2	1098	10000
35	1	1097	10000
34	2	1096	10000
205	2	1422	10000
223	2	1440	10000
176	2	1374	10000
60	2	1136	10000
61	2	1139	10000
62	1	1142	10000
63	2	1143	10000
64	1	1146	10000
65	1	1147	10000
66	2	1148	10000
67	1	1151	10000
68	1	1152	10000
69	1	1153	10000
175	2	1371	10000
174	2	1368	10000
173	2	1367	10000
172	1	1366	10000
171	2	1360	100
170	2	1358	10000
203	5	1400	200
222	2	1439	10000
181	2	1408	10000
182	2	1409	10000
183	2	1410	10000
180	1	1382	10000
2	2	1036	10000
162	1	1341	10000
187	2	1414	10000
184	2	1411	10000
6	2	1040	10000
220	2	1437	10000
186	2	1413	10000
188	1	1415	10000
189	2	1416	10000
202	5	1399	200
196	4	1393	1000
221	2	1438	10000
185	2	1412	10000
99	1	1208	10000
98	1	1207	10000
168	2	1354	10000
169	2	1356	10000
229	3	1460	8000
228	2	1445	10000
91	2	1190	10000
90	1	1189	10000
93	1	1198	10000
92	1	1197	10000
95	2	1204	10000
94	2	1203	10000
97	1	1206	10000
96	2	1205	10000
11	1	1045	10000
10	1	1044	10000
13	1	1047	10000
12	1	1046	10000
15	2	1051	10000
14	2	1048	10000
17	2	1055	10000
16	1	1054	10000
117	1	1250	10000
204	5	1401	200
224	2	1441	10000
151	2	1301	10000
150	1	1300	10000
153	2	1320	10000
152	2	1317	10000
155	2	1326	10000
154	2	1323	10000
157	1	1336	10000
156	2	1333	10000
159	1	1338	10000
158	1	1337	10000
234	3	1471	8000
238	3	1475	8000
239	3	1482	8000
227	2	1444	10000
207	2	1424	10000
235	3	1472	8000
236	3	1473	8000
237	3	1474	8000
230	3	1461	8000
231	3	1462	8000
232	3	1463	8000
233	3	1464	8000
48	2	1110	10000
49	1	1111	10000
46	2	1108	10000
47	1	1109	10000
44	1	1106	10000
45	1	1107	10000
42	2	1104	10000
43	1	1105	10000
40	2	1102	10000
41	1	1103	10000
1	1	1035	10000
5	1	1039	10000
9	1	1043	10000
146	1	1295	10000
147	2	1296	10000
144	1	1282	10000
145	2	1293	10000
142	2	1280	10000
143	1	1281	10000
140	2	1278	10000
141	1	1279	10000
209	2	1426	10000
208	2	1425	10000
148	1	1298	10000
149	2	1299	10000
77	2	1162	10000
76	2	1161	10000
75	2	1160	10000
74	2	1159	10000
73	2	1157	10000
72	1	1156	10000
71	1	1155	10000
70	1	1154	10000
79	1	1164	10000
78	2	1163	10000
