216	7	1459	10	0
217	3	1476	20000	0
214	7	1457	10	0
215	6	1458	200	0
212	7	1455	10	0
213	6	1456	200	0
210	7	1453	10	0
211	6	1454	300	0
218	4	1477	10000	0
219	3	1478	20000	0
227	4	1466	10000	0
164	3	1321	20000	0
131	5	1249	600	1
136	7	1256	10	0
135	6	1255	100	0
165	4	1322	10000	0
166	3	1324	20000	0
25	7	1024	10	0
167	4	1325	10000	0
20	6	1420	200	0
160	5	1315	300	0
161	6	1316	100	0
4	6	1003	200	0
8	6	1007	200	0
163	4	1319	10000	0
119	3	1230	20000	0
120	4	1231	10000	0
121	3	1233	20000	0
122	4	1234	10000	0
123	3	1236	20000	0
124	4	1237	10000	0
125	3	1239	20000	0
126	4	1240	10000	0
127	3	1242	20000	0
128	4	1243	10000	0
220	4	1479	10000	0
118	4	1228	10000	0
59	6	1083	300	0
58	5	1082	300	1
55	4	1076	10000	0
54	3	1075	20000	0
57	4	1081	6000	0
56	3	1080	10000	0
51	4	1071	8000	0
50	3	1070	10000	0
53	6	1073	300	0
52	5	1072	330	0
201	5	1386	200	0
198	4	1381	10000	0
195	3	1375	20000	0
194	4	1373	10000	0
197	3	1380	20000	0
196	4	1376	10000	0
191	3	1369	20000	0
190	7	1365	10	0
193	3	1372	20000	0
192	4	1370	10000	0
115	3	1224	20000	0
114	6	1222	100	0
88	4	1171	20000	0
89	3	1173	10000	0
110	4	1211	10000	0
113	5	1221	300	1
176	3	1343	20000	0
82	3	1149	20000	0
83	4	1150	10000	0
80	3	1144	20000	0
81	4	1145	10000	0
86	4	1168	20000	0
87	3	1170	10000	0
84	3	1158	20000	0
85	3	1167	10000	0
207	6	1450	300	0
206	7	1449	10	0
226	3	1465	20000	0
3	5	1002	300	1
177	4	1344	10000	0
7	5	1006	300	1
225	4	1486	10000	0
108	7	1202	10	0
109	3	1210	20000	0
103	5	1195	600	1
100	4	1192	20000	0
107	6	1201	200	0
104	6	1196	100	0
39	4	1053	10000	0
38	3	1052	20000	0
224	3	1485	20000	0
30	7	1029	10	0
37	4	1050	10000	0
36	3	1049	20000	0
35	7	1034	10	0
223	3	1484	20000	0
60	3	1085	20000	0
61	4	1086	10000	0
62	3	1116	20000	0
63	4	1117	10000	0
64	3	1119	20000	0
65	4	1120	10000	0
66	3	1122	20000	0
67	4	1123	10000	0
68	3	1125	20000	0
69	4	1126	10000	0
175	4	1335	10000	0
174	3	1334	20000	0
173	7	1332	10	0
172	6	1331	200	0
222	4	1481	10000	0
181	7	1351	10	0
182	3	1353	20000	0
183	3	1355	20000	0
180	6	1350	200	0
2	4	1001	6000	0
162	3	1318	20000	0
187	4	1362	10000	0
184	3	1357	20000	0
6	4	1005	6000	0
186	3	1361	20000	0
202	6	1387	300	0
221	3	1480	20000	0
185	3	1359	20000	0
99	3	1191	10000	0
98	4	1186	20000	0
168	3	1327	20000	0
169	4	1328	10000	0
229	4	1468	10000	0
228	3	1467	20000	0
91	3	1176	10000	0
90	4	1174	20000	0
93	3	1179	10000	0
92	4	1177	20000	0
95	3	1182	10000	0
94	4	1180	20000	0
97	3	1185	10000	0
96	4	1183	20000	0
11	5	1011	300	1
10	4	1010	6000	0
13	3	1013	10000	0
12	6	1418	200	0
15	5	1015	300	1
14	4	1014	6000	0
17	3	1017	10000	0
16	6	1419	200	0
19	5	1019	300	1
18	4	1018	6000	0
117	3	1227	20000	0
116	4	1225	10000	0
151	5	1305	600	0
152	6	1306	100	0
157	7	1311	10	0
156	6	1310	200	0
230	3	1469	20000	0
231	4	1470	10000	0
48	4	1067	6000	0
49	5	1068	600	1
46	5	1064	600	1
47	3	1066	10000	0
44	3	1062	10000	0
45	4	1063	6000	0
42	4	1059	6000	0
43	5	1060	600	1
40	3	1056	20000	0
41	3	1058	10000	0
1	3	1000	10000	0
5	3	1004	10000	0
9	3	1009	10000	0
146	7	1292	10	0
147	3	1294	20000	0
203	6	1446	500	0
145	6	1291	100	0
205	6	1448	500	0
204	7	1447	10	0
140	6	1286	100	0
141	7	1287	10	0
209	6	1452	300	0
208	7	1451	10	0
148	3	1297	20000	0
77	4	1138	10000	0
76	3	1137	20000	0
75	4	1135	10000	0
74	3	1134	20000	0
73	4	1132	10000	0
72	3	1131	20000	0
71	4	1129	10000	0
70	3	1128	20000	0
79	4	1141	10000	0
78	3	1140	20000	0
