24	6024	-1	6024	6124	-1	6124	1	0	1	2500
25	6025	-1	6025	6125	6205	6125	1	2500	2	15
26	6026	-1	6026	6126	-1	6126	1	0	1	3000
27	6027	-1	6027	6127	-1	6127	1	0	1	3000
20	6020	-1	6020	6120	6204	6120	1	2000	2	10
21	6021	-1	6021	6121	-1	6121	1	0	1	2500
22	6022	-1	6022	6122	-1	6122	1	0	1	2500
23	6023	-1	6023	6123	-1	6123	1	0	1	2500
28	6028	-1	6028	6128	-1	6128	1	0	1	3000
29	6029	-1	6029	6129	-1	6129	1	0	1	3000
4	6004	-1	6004	6104	-1	6104	1	0	1	500
8	6008	-1	6008	6108	-1	6108	1	0	1	1000
59	6059	-1	6059	6159	-1	6159	1	0	1	6000
58	6058	-1	6058	6158	-1	6158	1	0	1	6000
55	6055	-1	6055	6155	6211	6155	1	5500	2	30
54	6054	-1	6054	6154	-1	6154	1	0	1	5500
57	6057	-1	6057	6157	-1	6157	1	0	1	6000
56	6056	-1	6056	6156	-1	6156	1	0	1	6000
51	6051	-1	6051	6151	-1	6151	1	0	1	5500
50	6050	-1	6050	6150	6210	6150	1	5000	2	25
53	6053	-1	6053	6153	-1	6153	1	0	1	5500
52	6052	-1	6052	6152	-1	6152	1	0	1	5500
88	6088	-1	6088	6188	-1	6188	1	0	1	9000
89	6089	-1	6089	6189	-1	6189	1	0	1	9000
82	6082	-1	6082	6182	-1	6182	1	0	1	8500
83	6083	-1	6083	6183	-1	6183	1	0	1	8500
80	6080	-1	6080	6180	6216	6180	1	8000	2	40
81	6081	-1	6081	6181	-1	6181	1	0	1	8500
86	6086	-1	6086	6186	-1	6186	1	0	1	9000
87	6087	-1	6087	6187	-1	6187	1	0	1	9000
84	6084	-1	6084	6184	-1	6184	1	0	1	8500
85	6085	-1	6085	6185	6217	6185	1	8500	2	45
3	6003	-1	6003	6103	-1	6103	1	0	1	500
7	6007	-1	6007	6107	-1	6107	1	0	1	1000
100	6100	-1	6100	6200	6220	6200	1	10000	2	50
39	6039	-1	6039	6139	-1	6139	1	0	1	4000
38	6038	-1	6038	6138	-1	6138	1	0	1	4000
33	6033	-1	6033	6133	-1	6133	1	0	1	3500
32	6032	-1	6032	6132	-1	6132	1	0	1	3500
31	6031	-1	6031	6131	-1	6131	1	0	1	3500
30	6030	-1	6030	6130	6206	6130	1	3000	2	15
37	6037	-1	6037	6137	-1	6137	1	0	1	4000
36	6036	-1	6036	6136	-1	6136	1	0	1	4000
35	6035	-1	6035	6135	6207	6135	1	3500	2	20
34	6034	-1	6034	6134	-1	6134	1	0	1	3500
60	6060	-1	6060	6160	6212	6160	1	6000	2	30
61	6061	-1	6061	6161	-1	6161	1	0	1	6500
62	6062	-1	6062	6162	-1	6162	1	0	1	6500
63	6063	-1	6063	6163	-1	6163	1	0	1	6500
64	6064	-1	6064	6164	-1	6164	1	0	1	6500
65	6065	-1	6065	6165	6213	6165	1	6500	2	35
66	6066	-1	6066	6166	-1	6166	1	0	1	7000
67	6067	-1	6067	6167	-1	6167	1	0	1	7000
68	6068	-1	6068	6168	-1	6168	1	0	1	7000
69	6069	-1	6069	6169	-1	6169	1	0	1	7000
2	6002	-1	6002	6102	-1	6102	1	0	1	500
6	6006	-1	6006	6106	-1	6106	1	0	1	1000
99	6099	-1	6099	6199	-1	6199	1	0	1	10000
98	6098	-1	6098	6198	-1	6198	1	0	1	10000
91	6091	-1	6091	6191	-1	6191	1	0	1	9500
90	6090	-1	6090	6190	6218	6190	1	9000	2	45
93	6093	-1	6093	6193	-1	6193	1	0	1	9500
92	6092	-1	6092	6192	-1	6192	1	0	1	9500
95	6095	-1	6095	6195	6219	6195	1	9500	2	50
94	6094	-1	6094	6194	-1	6194	1	0	1	9500
97	6097	-1	6097	6197	-1	6197	1	0	1	10000
96	6096	-1	6096	6196	-1	6196	1	0	1	10000
11	6011	-1	6011	6111	-1	6111	1	0	1	1500
10	6010	-1	6010	6110	6202	6110	1	1000	2	5
13	6013	-1	6013	6113	-1	6113	1	0	1	1500
12	6012	-1	6012	6112	-1	6112	1	0	1	1500
15	6015	-1	6015	6115	6203	6115	1	1500	2	10
14	6014	-1	6014	6114	-1	6114	1	0	1	1500
17	6017	-1	6017	6117	-1	6117	1	0	1	2000
16	6016	-1	6016	6116	-1	6116	1	0	1	2000
19	6019	-1	6019	6119	-1	6119	1	0	1	2000
18	6018	-1	6018	6118	-1	6118	1	0	1	2000
48	6048	-1	6048	6148	-1	6148	1	0	1	5000
49	6049	-1	6049	6149	-1	6149	1	0	1	5000
46	6046	-1	6046	6146	-1	6146	1	0	1	5000
47	6047	-1	6047	6147	-1	6147	1	0	1	5000
44	6044	-1	6044	6144	-1	6144	1	0	1	4500
45	6045	-1	6045	6145	6209	6145	1	4500	2	25
42	6042	-1	6042	6142	-1	6142	1	0	1	4500
43	6043	-1	6043	6143	-1	6143	1	0	1	4500
40	6040	-1	6040	6140	6208	6140	1	4000	2	20
41	6041	-1	6041	6141	-1	6141	1	0	1	4500
1	6001	-1	6001	6101	-1	6101	1	0	1	500
5	6005	-1	6005	6105	6201	6105	1	500	2	5
9	6009	-1	6009	6109	-1	6109	1	0	1	1000
77	6077	-1	6077	6177	-1	6177	1	0	1	8000
