80527	805	7	80528	10	2	3320	1080	7000	仙风道骨	增加侠士内功伤害减免28%	3
80519	805	9	80520	10	1	4300	1400	9000	仙风道骨	增加侠士内功伤害减免27%	3
80416	804	6	80417	10	1	1040	340	6000	罗汉金身	增加侠士外功伤害减免18%	2
80221	802	1	80222	10	2	200	40	1000	流云水袖	增加侠士内功防御800点	1
80220	802	10	-1	10	1	4300	2200	10000	流云水袖	增加侠士内功防御6000点	3
80223	802	3	80224	10	2	520	140	3000	流云水袖	增加侠士内功防御2400点	1
80222	802	2	80223	10	2	320	80	2000	流云水袖	增加侠士内功防御1600点	1
80225	802	5	80226	10	2	1320	400	5000	流云水袖	增加侠士内功防御4000点	2
80224	802	4	80225	10	2	800	240	4000	流云水袖	增加侠士内功防御3200点	2
80227	802	7	80228	10	2	3320	1080	7000	流云水袖	增加侠士内功防御5600点	3
80226	802	6	80227	10	2	2080	680	6000	流云水袖	增加侠士内功防御4800点	2
80229	802	9	80230	10	2	8600	2800	9000	流云水袖	增加侠士内功防御7200点	4
80228	802	8	80229	10	2	5400	1760	8000	流云水袖	增加侠士内功防御6400点	3
80418	804	8	80419	10	1	2700	880	8000	罗汉金身	增加侠士外功伤害减免24%	2
80029	800	9	80030	10	2	8600	2800	9000	血战八方	增加侠士攻击3600点	4
80028	800	8	80029	10	2	5400	1760	8000	血战八方	增加侠士攻击3200点	3
80023	800	3	80024	10	2	520	140	3000	血战八方	增加侠士攻击1200点	1
80022	800	2	80023	10	2	320	80	2000	血战八方	增加侠士攻击800点	1
80021	800	1	80022	10	2	200	40	1000	血战八方	增加侠士攻击400点	1
80020	800	10	-1	10	1	4300	2200	10000	血战八方	增加侠士攻击3000点	3
80027	800	7	80028	10	2	3320	1080	7000	血战八方	增加侠士攻击2800点	3
80026	800	6	80027	10	2	2080	680	6000	血战八方	增加侠士攻击2400点	2
80025	800	5	80026	10	2	1320	400	5000	血战八方	增加侠士攻击2000点	2
80024	800	4	80025	10	2	800	240	4000	血战八方	增加侠士攻击1600点	2
80525	805	5	80526	10	2	1320	400	5000	仙风道骨	增加侠士内功伤害减免20%	2
80412	804	2	80413	10	1	160	40	2000	罗汉金身	增加侠士外功伤害减免6%	1
80311	803	1	80312	10	1	100	20	1000	延年益寿	增加侠士生命600点	1
80413	804	3	80414	10	1	260	70	3000	罗汉金身	增加侠士外功伤害减免9%	1
80410	804	10	-1	10	0	2150	1100	10000	罗汉金身	增加侠士外功伤害减免20%	2
80230	802	10	-1	10	2	8600	4400	10000	流云水袖	增加侠士内功防御8000点	5
80411	804	1	80412	10	1	100	20	1000	罗汉金身	增加侠士外功伤害减免3%	1
80030	800	10	-1	10	2	8600	4400	10000	血战八方	增加侠士攻击4000点	5
80319	803	9	80320	10	1	4300	1400	9000	延年益寿	增加侠士生命5400点	3
80417	804	7	80418	10	1	1660	540	7000	罗汉金身	增加侠士外功伤害减免21%	2
80528	805	8	80529	10	2	5400	1760	8000	仙风道骨	增加侠士内功伤害减免32%	3
80529	805	9	80530	10	2	8600	2800	9000	仙风道骨	增加侠士内功伤害减免36%	4
80328	803	8	80329	10	2	5400	1760	8000	延年益寿	增加侠士生命6400点	3
80329	803	9	80330	10	2	8600	2800	9000	延年益寿	增加侠士生命7200点	4
80324	803	4	80325	10	2	800	240	4000	延年益寿	增加侠士生命3200点	2
80325	803	5	80326	10	2	1320	400	5000	延年益寿	增加侠士生命4000点	2
80326	803	6	80327	10	2	2080	680	6000	延年益寿	增加侠士生命4800点	2
80327	803	7	80328	10	2	3320	1080	7000	延年益寿	增加侠士生命5600点	3
80320	803	10	-1	10	1	4300	2200	10000	延年益寿	增加侠士生命6000点	3
80130	801	10	-1	10	2	8600	4400	10000	将军铁甲	增加侠士外功防御8000点	5
80322	803	2	80323	10	2	320	80	2000	延年益寿	增加侠士生命1600点	1
80321	803	1	80322	10	2	200	40	1000	延年益寿	增加侠士生命800点	1
80517	805	7	80518	10	1	1660	540	7000	仙风道骨	增加侠士内功伤害减免21%	2
80516	805	6	80517	10	1	1040	340	6000	仙风道骨	增加侠士内功伤害减免18%	2
80515	805	5	80516	10	1	660	200	5000	仙风道骨	增加侠士内功伤害减免15%	2
80514	805	4	80515	10	1	400	120	4000	仙风道骨	增加侠士内功伤害减免12%	1
80513	805	3	80514	10	1	260	70	3000	仙风道骨	增加侠士内功伤害减免9%	1
80512	805	2	80513	10	1	160	40	2000	仙风道骨	增加侠士内功伤害减免6%	1
80209	802	9	80210	10	0	2150	700	9000	流云水袖	增加侠士内功防御3600点	2
80208	802	8	80209	10	0	1350	440	8000	流云水袖	增加侠士内功防御3200点	2
80207	802	7	80208	10	0	830	270	7000	流云水袖	增加侠士内功防御2800点	2
80206	802	6	80207	10	0	520	170	6000	流云水袖	增加侠士内功防御2400点	1
80205	802	5	80206	10	0	330	100	5000	流云水袖	增加侠士内功防御2000点	1
80204	802	4	80205	10	0	200	60	4000	流云水袖	增加侠士内功防御1600点	1
80203	802	3	80204	10	0	130	35	3000	流云水袖	增加侠士内功防御1200点	1
80202	802	2	80203	10	0	80	20	2000	流云水袖	增加侠士内功防御800点	1
80201	802	1	80202	10	0	50	10	1000	流云水袖	增加侠士内功防御400点	1
80518	805	8	80519	10	1	2700	880	8000	仙风道骨	增加侠士内功伤害减免24%	2
80128	801	8	80129	10	2	5400	1760	8000	将军铁甲	增加侠士外功防御6400点	3
80129	801	9	80130	10	2	8600	2800	9000	将军铁甲	增加侠士外功防御7200点	4
80126	801	6	80127	10	2	2080	680	6000	将军铁甲	增加侠士外功防御4800点	2
80127	801	7	80128	10	2	3320	1080	7000	将军铁甲	增加侠士外功防御5600点	3
80124	801	4	80125	10	2	800	240	4000	将军铁甲	增加侠士外功防御3200点	2
80125	801	5	80126	10	2	1320	400	5000	将军铁甲	增加侠士外功防御4000点	2
80122	801	2	80123	10	2	320	80	2000	将军铁甲	增加侠士外功防御1600点	1
80123	801	3	80124	10	2	520	140	3000	将军铁甲	增加侠士外功防御2400点	1
80120	801	10	-1	10	1	4300	2200	10000	将军铁甲	增加侠士外功防御6000点	3
80121	801	1	80122	10	2	200	40	1000	将军铁甲	增加侠士外功防御800点	1
80430	804	10	-1	10	2	8600	4400	10000	罗汉金身	增加侠士外功伤害减免40%	5
80522	805	2	80523	10	2	320	80	2000	仙风道骨	增加侠士内功伤害减免8%	1
80523	805	3	80524	10	2	520	140	3000	仙风道骨	增加侠士内功伤害减免12%	1
80310	803	10	-1	10	0	2150	1100	10000	延年益寿	增加侠士生命4000点	2
80520	805	10	-1	10	1	4300	2200	10000	仙风道骨	增加侠士内功伤害减免30%	3
80218	802	8	80219	10	1	2700	880	8000	流云水袖	增加侠士内功防御4800点	2
80219	802	9	80220	10	1	4300	1400	9000	流云水袖	增加侠士内功防御5400点	3
80502	805	2	80503	10	0	80	20	2000	仙风道骨	增加侠士内功伤害减免4%	1
80503	805	3	80504	10	0	130	35	3000	仙风道骨	增加侠士内功伤害减免6%	1
80504	805	4	80505	10	0	200	60	4000	仙风道骨	增加侠士内功伤害减免8%	1
