24	4012	35269
25	4620	39889
26	5227	45116
27	5835	50951
20	2782	21665
21	2990	24655
22	3197	27852
23	3405	31257
28	6442	57393
29	7050	64443
4	202	449
8	472	1933
59	124675	1621823
58	114667	1497148
55	99645	1168169
54	94637	1068524
57	109660	1382481
56	104652	1272821
51	79615	799635
50	74607	720020
53	89630	973887
52	84622	884257
88	597292	11066653
89	619300	11685953
82	465247	7813012
83	487255	8300267
80	421232	6904525
81	443240	7347765
86	553277	9894076
87	575285	10469361
84	509262	8809529
85	531270	9340799
3	135	247
7	405	1461
39	19525	174753
38	12517	155228
33	9480	98717
32	8872	89237
31	8265	80365
30	7657	72100
37	11910	142711
36	11302	130801
35	10695	119499
34	10087	108804
60	134682	1756505
61	144690	1901195
62	154697	2055892
63	164705	2220597
64	174712	2395309
65	184720	2580029
66	194727	2774756
67	204735	2979491
68	214742	3194233
69	224750	3418983
2	67	112
6	337	1056
99	1007375	19769763
98	943367	18762388
91	680115	13011575
90	645507	12331460
93	749330	14475627
92	714722	13726297
95	818545	16078109
94	783937	15259564
97	887760	17819021
96	853152	16931261
11	915	4095
10	707	3180
13	1330	6547
12	1122	5217
15	1745	9829
14	1537	8084
17	2160	13941
16	1952	11781
19	2575	18883
18	2367	16308
48	64592	575813
49	69600	645413
46	54577	451636
47	59585	511221
44	44562	347489
45	49570	397059
42	34547	263372
43	39555	302927
40	24532	199285
41	29540	228825
1	45	45
5	270	719
9	540	2473
77	355210	5706851
76	333202	5351641
75	311195	5018439
74	289187	4707244
73	264780	4418057
72	254772	4153277
71	244765	3898505
70	234757	3653740
79	399225	6483293
78	377217	6084068
