11	若渊	ruoyuan	100072	-1	-1	1	3	2	1	40	3	120	150	-1	-1	-1	2	500
10	海纳	yingying	100071	-1	-1	1	3	2	3	30	-1	-1	80	-1	-1	-1	2	300
13	炎上	tutie	100076	-1	-1	1	4	3	1	10	-1	-1	35	-1	-1	-1	3	200
12	滴水穿石	dishuichuanshi	100073	100074	100075	2	3	2	4	3	-1	-1	9	10	11	-1	-1	-1
15	焚天	fentian	100078	-1	-1	1	4	3	1	40	3	120	150	-1	-1	-1	3	500
14	积薪	jixin	100077	-1	-1	1	4	3	3	30	-1	-1	80	-1	-1	-1	3	300
17	星落	xingluo	100082	-1	-1	1	5	4	1	10	-1	-1	35	-1	-1	-1	4	200
16	炉火纯青	luhuochunqing	100079	100080	100081	2	4	3	4	3	-1	-1	13	14	15	-1	-1	-1
19	地裂	dilie	100084	-1	-1	1	5	4	1	40	3	120	150	-1	-1	-1	4	500
18	归尘	guichen	100083	-1	-1	1	5	4	3	30	-1	-1	80	-1	-1	-1	4	300
20	泰然自若	tairanziruo	100085	100086	100087	2	5	4	4	3	-1	-1	17	18	19	-1	-1	-1
1	利刃	liren	100058	-1	-1	1	1	0	1	10	-1	-1	35	-1	-1	-1	0	200
3	锋芒	ninglian	100060	-1	-1	1	1	0	1	40	3	120	150	-1	-1	-1	0	500
2	坚成	jintie	100059	-1	-1	1	1	0	3	30	-1	-1	80	-1	-1	-1	0	300
5	木盛	musheng	100064	-1	-1	1	2	1	1	10	-1	-1	35	-1	-1	-1	1	200
4	精诚所至	jingchengsuozhi	100061	100062	100063	2	1	0	4	3	-1	-1	1	2	3	-1	-1	-1
7	不朽	buxiu	100066	-1	-1	1	2	1	1	40	3	120	150	-1	-1	-1	1	500
6	藤蔓	tengman	100065	-1	-1	1	2	1	3	30	-1	-1	80	-1	-1	-1	1	300
9	涌泉	manshan	100070	-1	-1	1	3	2	1	10	-1	-1	35	-1	-1	-1	2	200
8	生生不息	shengshengbuxi	100067	100068	100069	2	2	1	4	3	-1	-1	5	6	7	-1	-1	-1
