24	11524	58	63	43	43
25	13652	60	64	44	44
26	14856	61	65	45	45
27	17366	62	66	46	46
20	7943	50	59	39	39
21	8738	52	60	40	40
22	9643	54	61	41	41
23	10521	56	62	42	42
28	18791	63	67	47	47
29	22244	64	68	48	48
4	38	12	43	23	23
8	434	26	47	27	27
59	139303	70	98	78	50
58	133207	70	97	77	50
55	114484	70	94	74	50
54	109152	70	93	73	50
57	126470	70	96	76	50
56	120764	70	95	75	50
51	92915	70	90	70	50
50	70593	70	89	69	50
53	103310	70	92	72	50
52	98338	70	91	71	50
88	5233088	70	120	100	50
89	5630128	70	120	100	50
82	3072831	70	120	100	50
83	3385061	70	120	100	50
80	2423781	70	119	99	50
81	2755439	70	120	100	50
86	4452163	70	120	100	50
87	4819770	70	120	100	50
84	3732957	70	120	100	50
85	4072300	70	120	100	50
3	12	10	42	22	22
7	270	23	46	26	26
100	14518184	70	120	100	50
39	41400	70	78	58	50
38	39318	70	77	57	50
33	29123	68	72	52	50
32	27401	67	71	51	50
31	25556	66	70	50	50
30	23950	65	69	49	49
37	37041	70	76	56	50
36	35080	70	75	55	50
35	32950	70	74	54	50
34	31109	69	73	53	50
60	202836	70	99	79	50
61	233467	70	100	80	50
62	267443	70	101	81	50
63	301707	70	102	82	50
64	339874	70	103	83	50
65	377973	70	104	84	50
66	420582	70	105	85	50
67	462722	70	106	86	50
68	510029	70	107	87	50
69	556417	70	108	88	50
2	10	8	41	21	21
6	150	20	45	25	25
99	13689002	70	120	100	50
98	12967984	70	120	100	50
91	8285875	70	120	100	50
90	6078416	70	120	100	50
93	9496036	70	120	100	50
92	8907056	70	120	100	50
95	10797515	70	120	100	50
94	10166111	70	120	100	50
97	12193942	70	120	100	50
96	11518532	70	120	100	50
11	1052	32	50	30	30
10	721	30	49	29	29
13	1903	36	52	32	32
12	1555	34	51	31	31
15	2770	40	54	34	34
14	2317	38	53	33	33
17	3852	44	56	36	36
16	3303	42	55	35	35
19	4815	48	58	38	38
18	4335	46	57	37	37
48	64663	70	87	67	50
49	67374	70	88	68	50
46	59026	70	85	65	50
47	61608	70	86	66	50
44	53677	70	83	63	50
45	56132	70	84	64	50
42	48612	70	81	61	50
43	50941	70	82	62	50
40	43827	70	79	59	50
41	46032	70	80	60	50
1	5	6	40	20	20
5	110	16	44	24	24
9	522	28	48	28	28
77	1617140	70	116	96	50
76	1380563	70	115	95	50
75	1147426	70	114	94	50
74	933477	70	113	93	50
73	843562	70	112	92	50
72	763085	70	111	91	50
71	681779	70	110	90	50
70	608686	70	109	89	50
79	2136800	70	118	98	50
78	1876507	70	117	97	50
