10004	10001	2	1	1	40	0	0
10005	10001	2	1	1	40	0	0
10006	10001	2	1	1	40	0	0
10007	10001	2	1	1	40	0	0
10000	10000	1	0	0	0	0	1
10001	10000	2	0	0	0	0	1
10002	10001	2	1	1	40	0	0
10003	10001	2	1	1	40	0	0
10037	10003	2	3	0	36	0	1
10041	10003	2	3	0	32	0	1
10042	10003	2	3	0	34	0	1
10043	10003	2	3	0	36	0	1
10008	10001	2	1	1	30	0	0
10009	10001	2	1	1	30	0	0
10046	10022	1	20	0	70	0	0
10047	10022	1	20	0	80	0	0
10035	10003	2	3	0	32	0	1
10060	10005	2	6	0	25	0	0
10061	10005	2	6	0	25	0	0
10049	10022	1	20	0	100	0	0
10028	10003	2	3	0	30	0	1
10029	10003	2	3	0	32	0	1
10026	10003	2	3	0	26	0	1
10027	10003	2	3	0	28	0	1
10024	10003	2	3	0	34	0	1
10025	10003	2	3	0	36	0	1
10022	10003	2	3	0	30	0	1
10023	10003	2	3	0	32	0	1
10020	10003	2	3	0	26	0	1
10021	10003	2	3	0	28	0	1
10036	10003	2	3	0	34	0	1
30000	10023	2	21	0	50	0	0
10064	10003	2	3	0	30	0	1
10031	10003	2	3	0	36	0	1
10050	10025	1	23	0	0	0	0
10065	10003	2	3	0	30	0	1
10030	10003	2	3	0	34	0	1
10040	10003	2	3	0	30	0	1
10033	10003	2	3	0	28	0	1
10056	10023	2	21	0	35	0	0
10032	10003	2	3	0	26	0	1
10068	10003	2	3	0	30	0	1
30001	10022	2	20	0	100	0	0
10069	10003	2	3	0	30	0	1
10059	10005	2	6	0	25	0	0
10058	10005	2	6	0	25	0	0
10057	10023	2	21	0	35	0	0
10044	10022	1	20	0	50	0	0
10055	10023	2	21	0	35	0	0
10054	10023	2	21	0	35	0	0
10053	10023	2	21	0	35	0	0
10052	10023	2	21	0	35	0	0
10051	10018	1	16	0	0	0	0
10045	10022	1	20	0	60	0	0
10019	10002	2	2	0	30	0	0
10018	10002	2	2	0	28	0	0
10039	10003	2	3	0	28	0	1
10038	10003	2	3	0	26	0	1
10062	10005	2	6	0	25	0	0
20000	10023	2	21	0	120	0	0
10013	10001	2	1	1	30	0	0
10012	10001	2	1	1	30	0	0
10011	10001	2	1	1	30	0	0
10010	10001	2	1	1	30	0	0
10017	10002	2	2	0	26	0	0
10016	10002	2	2	0	24	0	0
10015	10002	2	2	0	22	0	0
10014	10002	2	2	0	20	0	0
10034	10003	2	3	0	30	0	1
10067	10003	2	3	0	30	0	1
10063	10005	2	6	0	25	0	0
10066	10003	2	3	0	30	0	1
10048	10022	1	20	0	90	0	0
