24	40023	40069	40115	40161	40207	40253
25	40024	40070	40116	40162	40208	40254
26	40025	40071	40117	40163	40209	40255
27	40026	40072	40118	40164	40210	40256
20	40019	40065	40111	40157	40203	40249
21	40020	40066	40112	40158	40204	40250
22	40021	40067	40113	40159	40205	40251
23	40022	40068	40114	40160	40206	40252
28	40027	40073	40119	40165	40211	40257
29	40028	40074	40120	40166	40212	40258
4	40003	40049	40095	40141	40187	40233
8	40007	40053	40099	40145	40191	40237
59	60012	60012	60012	60012	60012	60012
58	60011	60011	60011	60011	60011	60011
55	60008	60008	60008	60008	60008	60008
54	60007	60007	60007	60007	60007	60007
57	60010	60010	60010	60010	60010	60010
56	60009	60009	60009	60009	60009	60009
51	60004	60004	60004	60004	60004	60004
50	60003	60003	60003	60003	60003	60003
53	60006	60006	60006	60006	60006	60006
52	60005	60005	60005	60005	60005	60005
114	60053	60053	60053	60053	60053	60053
88	60041	60041	60041	60041	60041	60041
89	60042	60042	60042	60042	60042	60042
111	60050	60050	60050	60050	60050	60050
110	60049	60049	60049	60049	60049	60049
113	60052	60052	60052	60052	60052	60052
112	60051	60051	60051	60051	60051	60051
82	60035	60035	60035	60035	60035	60035
83	60036	60036	60036	60036	60036	60036
80	60033	60033	60033	60033	60033	60033
81	60034	60034	60034	60034	60034	60034
86	60039	60039	60039	60039	60039	60039
87	60040	60040	60040	60040	60040	60040
84	60037	60037	60037	60037	60037	60037
85	60038	60038	60038	60038	60038	60038
3	40002	40048	40094	40140	40186	40232
7	40006	40052	40098	40144	40190	40236
108	60047	60047	60047	60047	60047	60047
109	60048	60048	60048	60048	60048	60048
102	40290	40298	40306	40314	40322	40330
103	40291	40299	40307	40315	40323	40331
100	40288	40296	40304	40312	40320	40328
101	40289	40297	40305	40313	40321	40329
106	40294	40302	40310	40318	40326	40334
107	60046	60046	60046	60046	60046	60046
104	40292	40300	40308	40316	40324	40332
105	40293	40301	40309	40317	40325	40333
39	40038	40084	40130	40176	40222	40268
38	40037	40083	40129	40175	40221	40267
33	40032	40078	40124	40170	40216	40262
32	40031	40077	40123	40169	40215	40261
31	40030	40076	40122	40168	40214	40260
30	40029	40075	40121	40167	40213	40259
37	40036	40082	40128	40174	40220	40266
36	40035	40081	40127	40173	40219	40265
35	40034	40080	40126	40172	40218	40264
34	40033	40079	40125	40171	40217	40263
60	60013	60013	60013	60013	60013	60013
61	60014	60014	60014	60014	60014	60014
62	60015	60015	60015	60015	60015	60015
63	60016	60016	60016	60016	60016	60016
64	60017	60017	60017	60017	60017	60017
65	60018	60018	60018	60018	60018	60018
66	60019	60019	60019	60019	60019	60019
67	60020	60020	60020	60020	60020	60020
68	60021	60021	60021	60021	60021	60021
69	60022	60022	60022	60022	60022	60022
2	40001	40047	40093	40139	40185	40231
6	40005	40051	40097	40143	40189	40235
99	40287	40295	40303	40311	40319	40327
98	70005	70005	70005	70005	70005	70005
91	60044	60044	60044	60044	60044	60044
90	60043	60043	60043	60043	60043	60043
93	70000	70000	70000	70000	70000	70000
92	60045	60045	60045	60045	60045	60045
95	70002	70002	70002	70002	70002	70002
94	70001	70001	70001	70001	70001	70001
97	70004	70004	70004	70004	70004	70004
96	70003	70003	70003	70003	70003	70003
11	40010	40056	40102	40148	40194	40240
10	40009	40055	40101	40147	40193	40239
13	40012	40058	40104	40150	40196	40242
12	40011	40057	40103	40149	40195	40241
15	40014	40060	40106	40152	40198	40244
14	40013	40059	40105	40151	40197	40243
17	40016	40062	40108	40154	40200	40246
16	40015	40061	40107	40153	40199	40245
19	40018	40064	40110	40156	40202	40248
18	40017	40063	40109	40155	40201	40247
48	60001	60001	60001	60001	60001	60001
49	60002	60002	60002	60002	60002	60002
46	40045	40091	40137	40183	40229	40275
47	60000	60000	60000	60000	60000	60000
44	40043	40089	40135	40181	40227	40273
45	40044	40090	40136	40182	40228	40274
42	40041	40087	40133	40179	40225	40271
43	40042	40088	40134	40180	40226	40272
40	40039	40085	40131	40177	40223	40269
41	40040	40086	40132	40178	40224	40270
1	40000	40046	40092	40138	40184	40230
5	40004	40050	40096	40142	40188	40234
9	40008	40054	40100	40146	40192	40238
77	60030	60030	60030	60030	60030	60030
76	60029	60029	60029	60029	60029	60029
75	60028	60028	60028	60028	60028	60028
74	60027	60027	60027	60027	60027	60027
73	60026	60026	60026	60026	60026	60026
72	60025	60025	60025	60025	60025	60025
71	60024	60024	60024	60024	60024	60024
70	60023	60023	60023	60023	60023	60023
79	60032	60032	60032	60032	60032	60032
78	60031	60031	60031	60031	60031	60031
